[2025-07-24 09:40:07 : INFO] - Cache for URL: https://www.medianet.srl/ has been purged, triggered by action: save_post 
[2025-08-08 10:35:15 : INFO] - Cache for URL: https://www.medianet.srl/?p=1905 has been purged, triggered by action: save_post 
[2025-08-08 10:35:15 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1905 has been purged, triggered by action: save_post 
[2025-08-08 10:35:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-08-29 07:13:36 : INFO] - Cache for URL: https://www.medianet.srl/?p=1906 has been purged, triggered by action: save_post 
[2025-08-29 07:13:36 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1906 has been purged, triggered by action: save_post 
[2025-08-29 07:13:36 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-08-29 07:16:11 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-08-29 07:17:15 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-08-29 07:17:49 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-08-29 07:20:59 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-08-29 07:22:21 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-08-29 07:22:54 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-08-29 07:23:37 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-08-29 07:24:00 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-08-29 07:31:27 : INFO] - Cache for URL: https://www.medianet.srl/lineasicura/ has been purged, triggered by action: save_post 
[2025-10-02 10:33:30 : INFO] - Cache for URL: https://www.medianet.srl/?p=1913 has been purged, triggered by action: save_post 
[2025-10-02 10:33:30 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1913 has been purged, triggered by action: save_post 
[2025-10-02 10:33:30 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-10-29 11:32:15 : INFO] - Cache for URL: https://www.medianet.srl/?p=1914 has been purged, triggered by action: save_post 
